scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG06,0.7,0.8,2.0,Guarded-GP,1,66,21,0,150,22,5,30,0.21947868523740707,0.08012133003784622,0.27935396399107515,0.27935396399107515,0,-0.010616572408041836,0.0,0.2022916731528633,1.0574480195859643,0.0004642779590359149,0.00208383569155669
BG06,0.7,0.8,2.0,Guarded-GP,2,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,3,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,4,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,0,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,1,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,2,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,3,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,4,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,Guarded-GP,0,2,14,0,150,85,46,43,0.653698726085423,0.39388512740138276,0.37283899866090603,0.653698726085423,0,0.1542470419597132,0.1174200253577482,0.5938452500802228,1.4655465990725571,-0.018474924708470924,-0.017039797120454607
BG07,0.9,0.2,0.5,Guarded-GP,1,14,14,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,Guarded-GP,2,2,14,0,150,85,46,43,0.653698726085423,0.39388512740138276,0.37283899866090603,0.653698726085423,0,0.1542470419597132,0.1174200253577482,0.5938452500802228,1.4655465990725571,-0.018474924708470924,-0.017039797120454607
BG07,0.9,0.2,0.5,Guarded-GP,3,2,14,0,150,85,46,43,0.653698726085423,0.39388512740138276,0.37283899866090603,0.653698726085423,0,0.1542470419597132,0.1174200253577482,0.5938452500802228,1.4655465990725571,-0.018474924708470924,-0.017039797120454607
BG07,0.9,0.2,0.5,Guarded-GP,4,2,14,0,150,85,46,43,0.653698726085423,0.39388512740138276,0.37283899866090603,0.653698726085423,0,0.1542470419597132,0.1174200253577482,0.5938452500802228,1.4655465990725571,-0.018474924708470924,-0.017039797120454607
BG08,0.9,0.2,2.0,DR-BGS,0,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,DR-BGS,1,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,DR-BGS,2,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,DR-BGS,3,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,DR-BGS,4,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,Guarded-GP,0,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,Guarded-GP,1,0,23,0,150,83,51,51,0.6409500400579764,0.4285835691833718,0.4285835691833718,0.6409500400579764,0,0.28539764533010115,0.1301887819856971,1.0391787029928017,2.874692337079504,-0.017299617669170847,-0.010960601987036349
BG08,0.9,0.2,2.0,Guarded-GP,2,1,23,0,150,83,47,48,0.6409500400579764,0.40086180232160096,0.40781968788079176,0.6409500400579764,0,0.2765233168213752,0.1320145181427022,1.249744098794048,2.874692337079504,-0.017121507841014152,-0.010760915974680886
BG08,0.9,0.2,2.0,Guarded-GP,3,0,23,0,150,83,51,51,0.6409500400579764,0.4285835691833718,0.4285835691833718,0.6409500400579764,0,0.28539764533010115,0.1301887819856971,1.0391787029928017,2.874692337079504,-0.017299617669170847,-0.010960601987036349
