scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F01,factorial,26,14.0,12.0,0.05,0.0545739544183689,0.0776608941856078,0.0033588481809113,0.0760908903031963,0.0019330217127199,0.047365613223762,0.0005012007305464,0.0002269060112701,0.0925840189831779,0.1985185185185185,development
F01,factorial,27,14.0,14.0,0.0,0.0545260649938284,0.0765711955762946,0.0033076374074809,0.0764423738637879,0.0025352178781251,0.0476867097093173,0.0005070058778605,0.0002000606496279,0.092741815007181,0.2021851851851852,development
F01,factorial,28,16.0,2.0,0.35,0.0542245335723194,0.0768590601383508,0.0026518537891271,0.0766279196795645,0.0016684409020864,0.0487577055885907,0.0005072195235485,0.0002451462621054,0.0887406128009005,0.1417037037037037,development
F01,factorial,29,16.0,4.0,0.3,0.0537097258815712,0.0766188738177788,0.0031074960089966,0.0757499223529703,0.0020819703139104,0.0490222871093764,0.0005422247136987,0.0001987763155549,0.083233789270875,0.1428518518518518,development
F01,factorial,30,16.0,6.0,0.25,0.0534672445751328,0.0730783605907933,0.0024312317269301,0.0746107262714221,0.0016831142607267,0.0486771937137038,0.0005005020534698,0.0001971375260598,0.0817426728314828,0.1428888888888888,development
F01,factorial,31,16.0,8.0,0.2,0.0532524540481004,0.074223276124537,0.0027622433891735,0.0755080364851707,0.0020838809196406,0.0489904089406942,0.0006135197350815,0.0002558956747329,0.0789707640273159,0.1447037037037037,development
F01,factorial,32,16.0,10.0,0.15,0.0530674765576566,0.0765662177189252,0.0033320756802336,0.0746210519002439,0.0021115313558994,0.0490592937583043,0.0006231634088517,0.0002528723375443,0.0747917728382458,0.144962962962963,development
F01,factorial,33,16.0,12.0,0.1,0.0529324138730491,0.0734019625082712,0.0036237601108183,0.0736491560185863,0.0024373353595441,0.0493299809242195,0.0005232798523628,0.0002242707385372,0.074102798897581,0.1473333333333333,development
F01,factorial,34,16.0,14.0,0.05,0.0528709604454402,0.0750801411228826,0.0042762085723995,0.0723731540839448,0.0022118121770485,0.0493286002667247,0.0004710273146029,0.0002019723457224,0.0713173992275383,0.1478888888888888,development
F01,factorial,35,16.0,16.0,0.0,0.0529029733314084,0.073816915893618,0.0037706607097089,0.0735351150805584,0.0020824015606567,0.0495852192401907,0.0005803740686927,0.0002336345973199,0.0702482746405616,0.151074074074074,development
F01,factorial,36,18.0,2.0,0.4,0.0535412601916057,0.0756516958721155,0.0049011437921509,0.0770695590477355,0.0024086547519522,0.0504778235975922,0.0007545501983844,0.0003150220655378,0.0730347132098182,0.11,development
F01,factorial,37,18.0,4.0,0.35,0.0531625775405859,0.0751792988720602,0.0028796425972426,0.075561436247117,0.0024444720567983,0.0504282189321541,0.0006516725996988,0.0003443852081932,0.0710221131899663,0.111037037037037,development
