scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.2,0.5,96,28.0,12.0,0.155498687684026,0.13309574654389086,0.24733018680665084,0.36377505346278144,0.400874581483779,150,150,147,1.0,0.9958563747187794,0
BG01,0.7,0.2,0.5,97,28.0,14.0,0.15898807912936652,0.13346205228722227,0.2474040269513017,0.3648047943072105,0.4019153983499058,150,150,146,1.0,0.9926874536019917,0
BG01,0.7,0.2,0.5,98,28.0,16.0,0.1578063823437056,0.13471963889675345,0.24698623717471246,0.3627801921385846,0.3998281277147915,150,147,146,0.9958563747187794,0.9926874536019917,0
BG01,0.7,0.2,0.5,99,28.0,18.0,0.15898556354525753,0.13767041428580645,0.24900551138104854,0.35536576791277136,0.3927165946199287,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,100,28.0,20.0,0.16313418993816473,0.14012823064444138,0.2494435448694775,0.3532371539979462,0.3906536857283678,150,150,147,1.0,0.9958563747187794,0
BG01,0.7,0.2,0.5,101,28.0,22.0,0.16694349665436287,0.14269307366664638,0.2503805636018857,0.34041139465441766,0.37796847919470056,150,150,147,1.0,0.9958563747187794,0
BG01,0.7,0.2,0.5,102,28.0,24.0,0.16741959009283844,0.14113392469359326,0.25098118611209613,0.34160620832100574,0.37925338623782007,150,150,150,1.0,1.0,0
BG01,0.7,0.2,0.5,103,28.0,26.0,0.1676387710848137,0.14350054611453156,0.2515846179576611,0.3318588643112416,0.36959655700489075,150,150,150,1.0,1.0,0
BG01,0.7,0.2,0.5,104,28.0,28.0,0.16825189348033825,0.14476288747858063,0.252977725522552,0.32662702471111665,0.3645736835394994,150,150,150,1.0,1.0,0
BG01,0.7,0.2,0.5,105,30.0,2.0,0.14769717908472216,0.1240124275374374,0.24282519107972964,0.4044160447931697,0.4408398234551292,150,148,144,0.9983811729701603,0.985181478885102,0
BG01,0.7,0.2,0.5,106,30.0,4.0,0.14933114481876264,0.1287610099295391,0.24386437920013246,0.39689868287959273,0.43347833975961253,150,150,145,1.0,0.9890898135310887,0
BG01,0.7,0.2,0.5,107,30.0,6.0,0.14804182606044203,0.12892177746783892,0.24571100736126955,0.3852118584173272,0.42206850952151764,150,149,142,0.99983122885689,0.97669618980353,0
BG01,0.7,0.2,0.5,108,30.0,8.0,0.15059611278300958,0.12953826732565793,0.24442896475765186,0.383644991199179,0.4203093359128267,150,149,146,0.99983122885689,0.9926874536019917,0
BG01,0.7,0.2,0.5,109,30.0,10.0,0.1539822548339818,0.13556854015600256,0.24727948224807197,0.3696301311060383,0.4067220534432491,150,150,146,1.0,0.9926874536019917,0
BG01,0.7,0.2,0.5,110,30.0,12.0,0.15968090836436044,0.13723538032031243,0.2487818282039469,0.3556827971169934,0.3930000713475854,150,150,145,1.0,0.9890898135310887,0
BG01,0.7,0.2,0.5,111,30.0,14.0,0.1595782410911731,0.13669353560154973,0.24889477483696718,0.3588745150725733,0.39620873129811834,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,112,30.0,16.0,0.16279702027846268,0.13966286980363998,0.250172734375495,0.35096666096120716,0.3884925711175313,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,113,30.0,18.0,0.16425396538460305,0.1400678554280734,0.252183949301488,0.3480629673427874,0.3858905597380107,150,150,149,1.0,0.99983122885689,0
BG01,0.7,0.2,0.5,114,30.0,20.0,0.16556799254388985,0.1418172427412167,0.25111940160088,0.3470241657764338,0.3846920760165658,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,115,30.0,22.0,0.16826635782339022,0.14416530123359755,0.2509781890421297,0.3371162349018106,0.3747629632581301,150,150,150,1.0,1.0,0
BG01,0.7,0.2,0.5,116,30.0,24.0,0.16923888205495946,0.1439051591348496,0.253106738926016,0.3329485444283814,0.37091455526728384,150,150,148,1.0,0.9983811729701603,0
