scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,48,20.0,8.0,150,138,89,0.9579797352998276,0.6727116862227358,0,0.08169563074358557,0.06632699995930207,0.23925098960018032,0.4174044625835894,0.45329211102361644,0.19478260869565198,0.14188838530082384
R15H01,0.7,0.2,0.5,49,20.0,10.0,150,138,85,0.9579797352998276,0.6472635343025096,0,0.0808237463444572,0.06678276250241796,0.23597375607657733,0.41686174418035465,0.45225780759184125,0.16914414414414405,0.15108357812944176
R15H01,0.7,0.2,0.5,50,20.0,12.0,150,139,89,0.9628253852180945,0.6727116862227358,0,0.08355072856428648,0.06683889203767983,0.23979671690216742,0.41390743492600324,0.4498769424613283,0.1829676071055381,0.13048212640054319
R15H01,0.7,0.2,0.5,51,20.0,14.0,150,139,91,0.9628253852180945,0.685347369989403,0,0.08092464209917127,0.06639920859466024,0.2415262960047113,0.4129263518258448,0.4491552962265515,0.18089887640449434,0.13896745219937104
R15H01,0.7,0.2,0.5,52,20.0,16.0,150,142,85,0.97669618980353,0.6472635343025096,0,0.07936920940528279,0.06611420568977856,0.24321955940348672,0.40815322640614954,0.44463616031667264,0.17033333333333323,0.1509684134310797
R15H01,0.7,0.2,0.5,53,20.0,18.0,150,143,89,0.9810344303654225,0.6727116862227358,0,0.08434820231154982,0.06854772477261668,0.2442900501751377,0.4004091546557568,0.43705266218202754,0.18887970918704552,0.1539092101428155
R15H01,0.7,0.2,0.5,54,20.0,20.0,150,145,97,0.9890898135310887,0.7228880546887881,0,0.08339040806835617,0.06775406884512437,0.2487891020572844,0.40096257101719207,0.4382809363257847,0.17005297334244698,0.1410084451068056
R15H01,0.7,0.2,0.5,55,22.0,2.0,150,140,93,0.9675702718413236,0.6979228157457065,0,0.08186909219317286,0.06404040180556295,0.23982880019318864,0.4333082231401754,0.46928254316915363,0.162347972972973,0.1322702477728778
R15H01,0.7,0.2,0.5,56,22.0,4.0,150,141,95,0.972200022205544,0.7104368345613593,0,0.07604014492981896,0.0632413813962531,0.23857010505480228,0.4311502203292724,0.4669357360874928,0.18020347934141023,0.1482467710438862
R15H01,0.7,0.2,0.5,57,22.0,6.0,150,138,90,0.9579797352998276,0.6790369902584646,0,0.07701580895400753,0.06534382861477223,0.23850947355162133,0.4171398421972828,0.452916263230026,0.19108108108108074,0.14411609498680733
R15H01,0.7,0.2,0.5,58,22.0,8.0,150,135,89,0.9429425651637531,0.6727116862227358,0,0.07906152125775359,0.06700634022902825,0.2419917992429825,0.41681880410710065,0.453117573993548,0.1658424908424908,0.12658310805275655
R15H01,0.7,0.2,0.5,59,22.0,10.0,150,139,89,0.9628253852180945,0.6727116862227358,0,0.08168215727418493,0.07164705427157948,0.24414762002193968,0.40701450919693616,0.4436366522002271,0.16972402597402594,0.14709890109890106
R15H01,0.7,0.2,0.5,60,22.0,12.0,150,146,101,0.9926874536019917,0.7475955847990066,0,0.07993471652387422,0.06904180970840379,0.24377450694293695,0.40855427843718795,0.4451204544786286,0.1506609461966604,0.1307861462341946
R15H01,0.7,0.2,0.5,61,22.0,14.0,150,145,102,0.9890898135310887,0.7537304842875724,0,0.09003524833099412,0.07235827474523855,0.25032523208333374,0.395851385820994,0.433400170633494,0.18651792524790228,0.15171308576480988
R15H01,0.7,0.2,0.5,62,22.0,16.0,150,142,101,0.97669618980353,0.7475955847990066,0,0.08740166408564809,0.07248410607950535,0.2481962452034431,0.3934526014336027,0.4306820382141192,0.17307926829268286,0.15881326352530512
R15H01,0.7,0.2,0.5,63,22.0,18.0,150,147,108,0.9958563747187794,0.7901647311422533,0,0.09148596700953827,0.07393707804371777,0.25250516628958086,0.38780112367553393,0.42567689861897096,0.1738362068965517,0.1450332129416813
R15H01,0.7,0.2,0.5,64,22.0,20.0,150,149,102,0.99983122885689,0.7537304842875724,0,0.09246834201960295,0.07271235031345154,0.25509530964234206,0.39320232531041355,0.4314666217567648,0.18737325294601245,0.1379232111692844
R15H01,0.7,0.2,0.5,65,22.0,22.0,150,139,100,0.9628253852180945,0.7414436366064876,0,0.0891089233684317,0.07171085298318423,0.25052251046549806,0.3855859568696739,0.4231643334394985,0.17658923355125886,0.14189430336307482
R15H01,0.7,0.2,0.5,66,24.0,2.0,150,142,85,0.97669618980353,0.6472635343025096,0,0.07981500633001773,0.06683469900785177,0.24050137469307045,0.4304836388887283,0.4665588450926888,0.17307926829268286,0.13418908360308054
R15H01,0.7,0.2,0.5,67,24.0,4.0,150,143,92,0.9810344303654225,0.6916426928331265,0,0.08568492547099114,0.06889779715928135,0.2440289674335899,0.4178309072277754,0.45443525234281384,0.17436951754385954,0.14211445876688927
